dv,spec,term,coef,t,p
free_will_attribution,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.06661792519735155,-0.5924853062431762,0.5539082351988077
free_will_attribution,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-0.08565990117774758,-0.7461945265383416,0.45605080405637277
free_will_attribution,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",0.058233959052715945,0.5124960842444519,0.608627124215424
free_will_attribution,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.040539938846447215,-0.35955499185684975,0.719396783854261
free_will_attribution,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",0.04646791810542883,0.3962074091708012,0.6921934584943653
free_will_attribution,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.8426573084120333,-2.35257987012331,0.01919679705812889
free_will_attribution,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-6.216931007655638,-2.5901501686730795,0.009994269680913707
free_will_attribution,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-2.853754980251453,-2.2376742034630297,0.025871031080745222
free_will_attribution,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-1.3358129241096726,-2.277191868472369,0.023377635390194103
free_will_attribution,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-4.7180037869276905,-2.237903784053096,0.02585590321159358
free_will_attribution,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.3810764738583446,-1.2256549347386614,0.22115499380348613
free_will_attribution,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-2.3535677145678076,-1.1240507373678423,0.26176404894523986
free_will_attribution,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-1.1372689329710126,-1.0264918796399571,0.305370712337835
free_will_attribution,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.5792032334893398,-1.1374722431909834,0.25612124112167023
free_will_attribution,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-1.935464092404639,-1.0571627724161088,0.29116850424231494
responsibility_total,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.1222222222222219,-1.0475310560199051,0.2955755018011263
responsibility_total,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-0.07777777777777872,-0.6666106720126769,0.5054587790011683
responsibility_total,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",0.05277777777777734,0.45234295600859287,0.6513013648971508
responsibility_total,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.16944444444444337,-1.4522589640275905,0.14732290840638326
responsibility_total,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",0.036111111111111205,0.3094978120058825,0.7571265259029131
responsibility_total,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.15136704165185738,-1.4333715310290147,0.15264436391769218
responsibility_total,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",0.1174925124007776,1.0897469204605998,0.276574356801381
responsibility_total,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-0.08711735548446903,-0.8163189683030634,0.41487296427469267
responsibility_total,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.24522097496149614,-2.3156921204807466,0.02115257234980134
responsibility_total,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-0.24367915541338614,-2.212222106391053,0.02759653454297652
responsibility_total,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.8539565377274633,-2.6880886118430314,0.0075297062672007465
responsibility_total,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-5.335920961186082,-2.5065288766552194,0.012645160207266668
responsibility_total,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-2.730494369942517,-2.4139923338824176,0.016291460672567475
responsibility_total,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-1.4241197760045075,-2.7372529280816478,0.00651181638680862
responsibility_total,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-4.580327895086994,-2.449594076193003,0.014791172644093494
responsibility_total,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.520321864030065,-1.7835282290609356,0.07536922609155329
responsibility_total,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-2.5434481044865453,-1.294595013422699,0.19631584606669417
responsibility_total,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-1.4898032072682872,-1.4330887260032,0.1527276614993483
responsibility_total,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.8772356587501903,-1.8360222462865505,0.06720490371615816
responsibility_total,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-2.5690838105488893,-1.4955014798776791,0.13568729273580865
outcome_accountability,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.2583333333333334,-1.9435101570462383,0.052753548234975745
outcome_accountability,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-0.01666666666666844,-0.12538775206751254,0.9002883687486218
outcome_accountability,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-0.0916666666666674,-0.6896326363712512,0.49088090904032833
outcome_accountability,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.21666666666666565,-1.630040776877482,0.1039898918786223
outcome_accountability,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-0.33333333333333326,-2.5077550413499816,0.012600861188519302
outcome_accountability,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.2855489513960749,-2.2903594325715364,0.022594689038731658
outcome_accountability,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",0.16567797435369486,1.301594957745705,0.19391094334618453
outcome_accountability,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-0.22230163336782088,-1.7643854992748178,0.07853932104805804
outcome_accountability,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.2874272736297937,-2.299041444100512,0.02209106337596075
outcome_accountability,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-0.5946032667356456,-4.572284648706664,6.702292190885437e-06
outcome_accountability,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-1.0941482491372714,-3.023386804164695,0.0026840545711657674
outcome_accountability,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-6.022718875781642,-2.483508476329157,0.013477070900413902
outcome_accountability,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-3.2708265427482663,-2.538410437577127,0.01156848116274662
outcome_accountability,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-1.6498048076394285,-2.783624862466132,0.005667422102281058
outcome_accountability,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-5.606406493248385,-2.6320362556183086,0.008863285755341626
outcome_accountability,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.7860548509325402,-2.284143272560111,0.022963125935557053
outcome_accountability,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-3.4440227160552,-1.4860712539299201,0.13816304473395144
outcome_accountability,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-2.125116019933765,-1.7329634252395767,0.08398548966532084
outcome_accountability,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-1.1447871958851399,-2.0311827636498934,0.04299390402104614
outcome_accountability,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-3.749132434298093,-1.8501286720244723,0.06514007281358578
moral_praise_blame,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.0916666666666669,-0.6453152307143979,0.5191445160344004
moral_praise_blame,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-0.008333333333334081,-0.0586650209740413,0.9532523047801668
moral_praise_blame,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",0.05833333333333318,0.4106551468182511,0.6815759925287592
moral_praise_blame,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.2749999999999986,-1.9359456921431788,0.053677008740050734
moral_praise_blame,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",0.05000000000000049,0.3519901258442194,0.7250568972789083
moral_praise_blame,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.11970586044639153,-0.8940080488379498,0.37193191822709726
moral_praise_blame,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",0.17952926499082644,1.3132556481703854,0.18995710970382296
moral_praise_blame,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-0.07625479680934599,-0.5635350557799318,0.5734314595606553
moral_praise_blame,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.34790190382728586,-2.591066582473754,0.009968204337880775
moral_praise_blame,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-0.21917626028536297,-1.5692871706689522,0.11748462684891363
moral_praise_blame,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.9173676848232934,-2.368975765493899,0.01837970671094275
moral_praise_blame,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-5.941708450715632,-2.2897287087703306,0.02263166344699407
moral_praise_blame,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-3.082356665047878,-2.2355627190297933,0.02601052499268448
moral_praise_blame,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-1.6907962484099586,-2.666054691800698,0.008030731429020938
moral_praise_blame,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-5.159265585752677,-2.2635745675698438,0.024212096946162668
moral_praise_blame,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.5991485387922275,-1.6199387794940128,0.10614862337157514
moral_praise_blame,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-3.2782612798144557,-1.3161663967337323,0.18898198472085692
moral_praise_blame,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-1.8989914053789136,-1.4408652225275678,0.1505193189961236
moral_praise_blame,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-1.1691808094569105,-1.930187620211113,0.05439361933191023
moral_praise_blame,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-3.2409506577837632,-1.4881173469004174,0.13762292793275335
process_accountability,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.01666666666666594,-0.14184925315615587,0.8872804603748525
process_accountability,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-0.20833333333333448,-1.7731156644520356,0.077076682803344
process_accountability,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",0.19166666666666624,1.63126641129586,0.10373099445559265
process_accountability,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.01666666666666533,-0.14184925315615068,0.8872804603748565
process_accountability,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",0.39166666666666683,3.3334574491698077,0.0009491913932010002
process_accountability,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.04884631311310539,-0.47016298115737193,0.638531403929673
process_accountability,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",0.007270297857811081,0.06854201294808725,0.9453933178511698
process_accountability,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",0.0372043637237599,0.3543547649447706,0.7232864247937671
process_accountability,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.10033374742740916,-0.9630734877136771,0.3361755502696283
process_accountability,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",0.08274206078084922,0.7635295881160794,0.44566198542115765
process_accountability,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.5503536792218203,-1.7132224658928101,0.08755714226340384
process_accountability,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-4.043335557060966,-1.8783096197766687,0.06116992286889385
process_accountability,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-1.8382999020314101,-1.6072189288230156,0.10890806589766511
process_accountability,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.9317582719641386,-1.771070063126599,0.07741928842141267
process_accountability,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-2.9753116062599063,-1.5735990460066596,0.11648365464510264
process_accountability,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.17576220236542595,-0.610970254732991,0.541616978860612
process_accountability,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-0.9080603175899755,-0.46871884553329773,0.6395632485479946
process_accountability,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-0.4453021964921817,-0.43439586334466407,0.6642694455560217
process_accountability,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.31773897090851566,-0.6744019474080912,0.5005022723440986
process_accountability,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-0.7171683395647992,-0.4233663656538283,0.672288758402738
experience,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",0.26666666666666505,2.2468040388200134,0.025273545610240818
experience,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-0.04333333333333357,-0.3651056563082565,0.7152524353486364
experience,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",0.13000000000000084,1.0953169689247704,0.27412879334534745
experience,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.04666666666666587,-0.39319070679349805,0.6944173375580907
experience,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-0.28,-2.3591442407610272,0.01886433897146846
experience,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",0.2677075051085739,2.251525958240162,0.024971933614127913
experience,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-0.05030695089412476,-0.4144120886967344,0.6788262024207626
experience,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",0.13499602452116383,1.1234794784266178,0.2620039185737263
experience,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.0439604867177038,-0.3687012887018137,0.7125733083849709
experience,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-0.2700079509576751,-2.1770873808520443,0.030141733420086216
experience,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",0.5430304287731311,1.6678735636009263,0.09623521014969255
experience,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",1.9425790409658608,0.8903754336048625,0.37387594229132076
experience,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",1.1811951474887792,1.018937160329371,0.3089366009559266
experience,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",0.4272031348509782,0.8011871744518119,0.4235668509375802
experience,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",1.4635514834466172,0.7637244666689385,0.4455459705860911
experience,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",0.5367869423284083,1.631681324657762,0.1036486045272558
experience,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",1.890321983164022,0.8532421900681846,0.3941102217447026
experience,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",1.1579774214340657,0.987801665159593,0.323934122850362
experience,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",0.4169689960096,0.7739108116791252,0.43950745453116535
experience,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",1.4259139830042762,0.7360840216725596,0.4621740082902069
autonomy,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.07777777777777811,-0.6098602188714979,0.5423490074144433
autonomy,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-0.37222222222222356,-2.9186167617421668,0.0037426349599070496
autonomy,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",0.2222222222222212,1.7424577682042643,0.08230421285346848
autonomy,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.03333333333333238,-0.2613686652306334,0.793961513838839
autonomy,dummy_process_only,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",0.5222222222222218,4.094775755280034,5.249539104018312e-05
autonomy,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.12133578236496162,-1.172316338858832,0.24186739406374358
autonomy,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-0.08038359148809171,-0.7606963594176691,0.44735061064669546
autonomy,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",0.01314380020374234,0.12566219024336536,0.9000714820873736
autonomy,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.14658414526001112,-1.4123380959684957,0.1587389524180366
autonomy,control_perceived_intelligence,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",0.10406537818526007,0.9639290873775644,0.33574699503519706
autonomy,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.912845432033472,-2.6309057599311534,0.008892236497899046
autonomy,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-6.372904711572945,-2.7409491662695777,0.006440561142369586
autonomy,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-2.9540953213211423,-2.391218917694117,0.01732016062967603
autonomy,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-1.4651901750545213,-2.5784733163649247,0.010331769720703111
autonomy,control_char_len,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-4.746136538919863,-2.324010114169658,0.02069694425014965
autonomy,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.alternatives]",-0.40835642924569426,-1.426765546363391,0.1545414772990478
autonomy,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.direct_choice_long]",-2.150406398744763,-1.1156729313547198,0.26532976298295796
autonomy,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons]",-1.0780461670512476,-1.0570288430250665,0.29122953472608865
autonomy,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reasons_concise]",-0.6382466805532957,-1.3616187728739746,0.1741965616347284
autonomy,control_both,"C(process_condition, Treatment(reference='direct_choice'))[T.reflection_feedback]",-1.7049342821912683,-1.0116295853171897,0.31241602952448516
